92	步怀蕊	1	广播电视工程	19	2000.1	18278547651	95
95	利雁玉	1	计算机科学与技术	24	1995.12	18244908638	55
99	欧阳曼文	1	数字媒体艺术	21	1998.11	18275086135	18
101	洪惜霜	1	计算机软件	23	1996.10	18294557434	43
104	赵映波	0	电气信息工程	21	1998.6	18219623444	53
106	张曼香	1	信息与通信工程	18	2001.4	18283613505	68
109	万美莲	0	软件工程	21	1998.2	18215471678	29
113	皮亦瑶	0	电子信息工程	22	1997.4	18255344733	95
116	厍友绿	0	探测制导与控制技术	19	2000.6	18247301869	90
120	皇甫友绿	0	网络工程	23	1996.6	18235001714	16
121	璩丹珍	1	音乐表演	23	1996.7	18273552398	64
122	容若南	1	自动化	21	1998.2	18260271065	18
125	庞美莲	0	光电信息工程	20	1999.10	18255162736	36
129	谢听白	1	新闻传播学	18	2001.7	18221858788	100
131	经紫安	1	数字媒体技术	23	1996.9	18263298501	56
133	巢惜文	1	汉语言	23	1996.12	18287162758	59
135	姚安蕾	1	雕塑	22	1997.5	18223026467	34
136	万俟沛珊	0	外语	21	1998.2	18299985235	6
139	都听白	1	外语	21	1998.1	18267441003	71
141	司寇晓槐	1	电气工程及其自动化	22	1997.7	18215968493	31
142	东方友儿	0	汉语言	24	1995.7	18241384120	12
144	益幼翠	1	文学	23	1996.7	18243117689	100
145	钮书芹	0	电气信息工程	19	2000.3	18297292323	77
148	卢涵蕾	1	艺术设计学	19	2000.9	18257225933	88
152	邹雁枫	0	学类	21	1998.2	18215874791	96
155	凤秋春	1	信息科学技术	24	1995.10	18268530944	71
159	魏从安	1	微电子学	18	2001.1	18247839846	13
160	庄寻真	0	探测制导与控制技术	23	1996.9	18265168405	84
162	越沛珊	1	电气工程及其自动化	20	1999.6	18265005604	91
164	燕雅山	1	通信工程	21	1998.9	18220949697	26
165	公良幼南	0	编辑出版学	24	1995.9	18292063560	38
167	廖幻莲	1	广告学	20	1999.7	18214463427	65
171	仰夜山	1	对外汉语	18	2001.12	18277855634	20
173	巩醉蓝	1	外国语言文	21	1998.2	18283259414	24
175	嵇忆香	0	新闻学	21	1998.10	18239767722	89
176	於新琳	1	信息显示与光电技术	19	2000.9	18244641464	30
178	窦小凡	0	智能科学与技术	23	1996.4	18226059708	13
180	甄忆翠	0	学类	19	2000.12	18295325907	72
184	魏凌香	1	艺术设计学	22	1997.4	18258583700	14
188	韶寒云	0	汉语言	22	1997.5	18279349178	83
190	林林琳	1	光电信息工程	19	2000.6	18224983260	25
194	巢书兰	0	电气信息工程	21	1998.5	18276174804	6
197	葛幻珊	1	学类	24	1995.1	18252949022	89
200	危谷冬	1	广播电视工程	18	2001.3	18252400440	97
203	范夏青	1	电子科学与技术	23	1996.11	18298919248	84
206	那睿婕	0	音乐学	22	1997.11	18284003663	62
209	江念露	1	电气工程与自动化	20	1999.5	18278505580	73
212	祝俊彦	1	电磁场与无线技术	19	2000.6	18217071355	10
214	宣博文	0	微电子学	24	1995.9	18250332530	77
217	南宫友儿	1	雕塑	20	1999.12	18271180370	89
221	寇安蕾	1	微电子学	23	1996.10	18249531841	11
223	公冶恨山	1	新闻传播学	19	2000.1	18261907421	18
225	管含玉	1	学类	18	2001.9	18253203353	93
227	公良尔珍	1	影视艺术技术	22	1997.12	18216250073	70
231	邹小玉	1	作曲与作曲技术理论	22	1997.8	18268844217	68
232	有代荷	1	外语	19	2000.6	18227061613	52
236	夹谷夜蕾	0	计算机软件	21	1998.4	18274268968	96
238	盖从南	0	自动化	21	1998.2	18287587726	59
241	汤亦寒	0	雕塑	24	1995.8	18290261506	32
244	曾如萱	1	探测制导与控制技术	22	1997.8	18229965292	92
246	国曼香	0	网络工程	20	1999.10	18241760524	64
248	於从蓉	1	广播电视新闻学	20	1999.10	18236808991	47
249	史凡柔	0	雕塑	19	2000.11	18213505206	42
253	莫冰兰	0	电子信息工程	22	1997.3	18223037660	98
254	蒯怀萍	0	建筑电气与智能化	24	1995.7	18212092239	9
